Movie_Title,Release Year,Genre,Production Budget ($M),WW Box Office Gross ($M),"Franchise/Sequel (1=Yes, 0=No)",Director,Lead Star,MPAA Rating,Release Month,Runtime (min),IMDb Score,Rotten Tomatoes (%),Opening Weekend ($M),Sequel Number,Streaming Days After Release,Marketing Budget Est. ($M),Total Cost Est. ($M),Net Profit/Loss ($M),ROI (%),Opening Weekend Ratio (%),Budget Tier,Season,Critical Reception
Coco,2017,Animation,175,807,0,Lee Unkrich,Anthony Gonzalez,PG,10,105,8,97,50,1,90,88,263,141,54,6,Large ($100-199M),Off-Season,Acclaimed (75+)
Incredibles 2,2018,Animation,200,1243,1,Brad Bird,Holly Hunter,PG,6,118,8,94,182,2,90,100,300,322,107,15,Mega ($200M+),Summer,Acclaimed (75+)
Toy Story 4,2019,Animation,200,1073,1,Josh Cooley,Tom Hanks,G,6,100,8,97,118,4,90,100,300,237,79,11,Mega ($200M+),Summer,Acclaimed (75+)
The Lion King (2019),2019,Animation,260,1657,1,Jon Favreau,Donald Glover,PG,7,118,7,52,191,2,90,130,390,439,112,12,Mega ($200M+),Summer,Mixed (50-74)
Aladdin (2019),2019,Animation,183,1050,1,Guy Ritchie,Mena Massoud,PG,5,128,7,57,91,2,90,92,275,251,91,9,Large ($100-199M),Summer,Mixed (50-74)
Encanto,2021,Animation,120,256,0,Byron Howard,Stephanie Beatriz,PG,11,99,7,91,40,1,45,60,180,-52,-29,16,Large ($100-199M),Holiday,Acclaimed (75+)
Turning Red,2022,Animation,175,21,0,Domee Shi,Rosalie Chiang,PG,3,100,7,95,0,1,0,88,263,-252,-96,0,Large ($100-199M),Spring,Acclaimed (75+)
The Super Mario Bros. Movie,2023,Animation,100,1362,1,Illumination,Chris Pratt,PG,4,92,7,59,204,1,45,50,150,531,354,15,Large ($100-199M),Spring,Mixed (50-74)
Elemental,2023,Animation,200,497,0,Peter Sohn,Leah Lewis,PG,6,101,7,73,29,1,45,100,300,-52,-17,6,Mega ($200M+),Summer,Mixed (50-74)
Inside Out 2,2024,Animation,200,1699,1,Kelsey Mann,Amy Poehler,PG,6,100,8,91,154,2,45,100,300,550,183,9,Mega ($200M+),Summer,Acclaimed (75+)
IT Chapter One,2017,Horror,35,701,1,Andy Muschietti,Bill Skarsgård,R,9,135,7,86,123,1,90,18,53,298,568,18,Mid ($30-99M),Off-Season,Acclaimed (75+)
IT Chapter Two,2019,Horror,79,474,1,Andy Muschietti,Jessica Chastain,R,9,169,7,62,91,2,90,40,119,119,100,19,Mid ($30-99M),Off-Season,Mixed (50-74)
A Quiet Place,2018,Horror,17,340,1,John Krasinski,Emily Blunt,PG-13,4,90,8,96,50,1,90,9,26,145,567,15,Low (< $30M),Spring,Acclaimed (75+)
A Quiet Place Part II,2021,Horror,61,297,1,John Krasinski,Emily Blunt,PG-13,5,97,7,91,47,2,45,31,92,57,62,16,Mid ($30-99M),Summer,Acclaimed (75+)
Get Out,2017,Horror,5,255,0,Jordan Peele,Daniel Kaluuya,R,2,104,8,98,33,1,90,3,8,120,1600,13,Low (< $30M),Off-Season,Acclaimed (75+)
Us,2019,Horror,20,255,0,Jordan Peele,Lupita Nyong'o,R,3,116,7,93,71,1,90,10,30,98,325,28,Low (< $30M),Spring,Acclaimed (75+)
Nope,2022,Horror,68,171,0,Jordan Peele,Daniel Kaluuya,R,7,131,7,82,44,1,45,34,102,-17,-16,26,Mid ($30-99M),Summer,Acclaimed (75+)
M3GAN,2023,Horror,12,181,0,Gerard Johnstone,Allison Williams,PG-13,1,102,6,93,30,1,45,6,18,73,403,17,Low (< $30M),Off-Season,Acclaimed (75+)
Five Nights at Freddy's,2023,Horror,20,297,1,Emma Tammi,Josh Hutcherson,PG-13,10,110,6,40,78,1,0,10,30,119,395,26,Low (< $30M),Off-Season,Poor (<50)
The Conjuring: The Devil,2021,Horror,39,202,1,Michael Chaves,Patrick Wilson,R,6,112,8,56,24,3,45,20,59,43,73,12,Mid ($30-99M),Summer,Mixed (50-74)
Scream (2022),2022,Horror,24,139,1,Radio Silence,Melissa Barrera,R,1,114,6,76,30,5,45,12,36,34,93,22,Low (< $30M),Off-Season,Acclaimed (75+)
Halloween Kills,2021,Horror,20,131,1,David Gordon Green,Jamie Lee Curtis,R,10,105,5,39,49,11,0,10,30,36,118,37,Low (< $30M),Off-Season,Poor (<50)
Barbarian,2022,Horror,4,45,0,Zach Cregger,Georgina Campbell,R,9,102,7,99,10,1,45,2,6,17,275,22,Low (< $30M),Off-Season,Acclaimed (75+)
Talk to Me,2023,Horror,5,69,0,Danny & Michael Philippou,Sophie Wilde,R,7,95,7,96,10,1,45,3,8,27,360,15,Low (< $30M),Summer,Acclaimed (75+)
Parasite,2019,Drama/Thriller,11,264,0,Bong Joon-ho,Song Kang-ho,R,10,132,9,99,2,1,90,6,17,116,700,1,Low (< $30M),Off-Season,Acclaimed (75+)
1917,2019,Drama/Thriller,95,385,0,Sam Mendes,George MacKay,R,1,119,8,89,36,1,90,48,143,50,35,9,Mid ($30-99M),Off-Season,Acclaimed (75+)
The Revenant,2015,Drama/Thriller,135,533,0,Alejandro Iñárritu,Leonardo DiCaprio,R,1,156,8,78,38,1,90,68,203,64,32,7,Large ($100-199M),Off-Season,Acclaimed (75+)
La La Land,2016,Drama/Thriller,30,446,0,Damien Chazelle,Ryan Gosling,PG-13,12,128,8,91,9,1,90,15,45,178,396,2,Mid ($30-99M),Holiday,Acclaimed (75+)
Joker,2019,Drama/Thriller,55,1079,1,Todd Phillips,Joaquin Phoenix,R,10,122,8,68,96,1,90,28,83,457,554,9,Mid ($30-99M),Off-Season,Mixed (50-74)
Joker: Folie à Deux,2024,Drama/Thriller,200,206,1,Todd Phillips,Joaquin Phoenix,R,10,138,6,31,37,2,45,100,300,-197,-66,18,Mega ($200M+),Off-Season,Poor (<50)
Bohemian Rhapsody,2018,Drama/Thriller,52,911,0,Bryan Singer,Rami Malek,PG-13,11,134,8,60,51,1,90,26,78,378,484,6,Mid ($30-99M),Holiday,Mixed (50-74)
Midsommar,2019,Horror,9,14,0,Ari Aster,Florence Pugh,R,7,148,7,83,3,1,90,5,14,-7,-48,21,Low (< $30M),Summer,Acclaimed (75+)
Hereditary,2018,Horror,10,80,0,Ari Aster,Toni Collette,R,6,127,7,92,13,1,90,5,15,25,167,16,Low (< $30M),Summer,Acclaimed (75+)
The Witch,2015,Horror,4,40,0,Robert Eggers,Anya Taylor-Joy,R,2,92,7,90,9,1,90,2,6,14,233,23,Low (< $30M),Off-Season,Acclaimed (75+)
The Menu,2022,Drama/Thriller,30,80,0,Mark Mylod,Ralph Fiennes,R,11,107,7,88,9,1,45,15,45,-5,-11,11,Mid ($30-99M),Holiday,Acclaimed (75+)
Past Lives,2023,Drama/Thriller,12,22,0,Celine Song,Greta Lee,PG-13,6,106,8,98,3,1,45,6,18,-7,-39,14,Low (< $30M),Summer,Acclaimed (75+)
Poor Things,2023,Drama/Thriller,35,35,0,Yorgos Lanthimos,Emma Stone,R,12,141,8,92,5,1,45,18,53,-35,-67,14,Mid ($30-99M),Holiday,Acclaimed (75+)
Barbie,2023,Comedy,145,1441,1,Greta Gerwig,Margot Robbie,PG-13,7,114,7,88,162,1,45,73,218,503,231,11,Large ($100-199M),Summer,Acclaimed (75+)
Deadpool & Wolverine,2024,Action/Adventure,200,1338,1,Shawn Levy,Ryan Reynolds,R,7,128,8,79,438,3,45,100,300,369,123,33,Mega ($200M+),Summer,Acclaimed (75+)
Inside Out,2015,Animation,175,857,1,Pete Docter,Amy Poehler,PG,6,95,8,98,90,1,90,88,263,166,63,11,Large ($100-199M),Summer,Acclaimed (75+)
Finding Dory,2016,Animation,200,1029,1,Andrew Stanton,Ellen DeGeneres,PG,6,103,7,94,135,2,90,100,300,215,72,13,Mega ($200M+),Summer,Acclaimed (75+)
Zootopia,2016,Animation,150,1024,0,Byron Howard,Ginnifer Goodwin,PG,3,108,8,98,75,1,90,75,225,287,128,7,Large ($100-199M),Spring,Acclaimed (75+)
Moana 2,2024,Animation,150,1097,1,Dave Derrick Jr.,Auli'i Cravalho,PG,11,100,7,70,225,2,45,75,225,324,144,21,Large ($100-199M),Holiday,Mixed (50-74)
Minions,2015,Animation,74,1159,1,Kyle Balda,Pierre Coffin,PG,7,91,6,55,115,2,90,37,111,469,422,10,Mid ($30-99M),Summer,Mixed (50-74)
The Secret Life of Pets,2016,Animation,75,875,0,Chris Renaud,Louis C.K.,PG,7,87,7,75,104,1,90,38,113,325,289,12,Mid ($30-99M),Summer,Acclaimed (75+)
Sing,2016,Animation,75,634,0,Garth Jennings,Matthew McConaughey,PG,12,108,7,71,35,1,90,38,113,205,182,6,Mid ($30-99M),Holiday,Mixed (50-74)
Despicable Me 3,2017,Animation,80,1035,1,Pierre Coffin,Steve Carell,PG,6,90,6,59,72,3,90,40,120,398,331,7,Mid ($30-99M),Summer,Mixed (50-74)
Hotel Transylvania 3,2018,Animation,80,528,1,Genndy Tartakovsky,Adam Sandler,PG,7,97,6,62,44,3,90,40,120,144,120,8,Mid ($30-99M),Summer,Mixed (50-74)
The Croods: A New Age,2020,Animation,65,171,1,Joel Crawford,Nicolas Cage,PG,11,95,7,77,10,2,45,33,98,-12,-12,6,Mid ($30-99M),Holiday,Acclaimed (75+)
Puss in Boots: The Last Wish,2022,Animation,90,484,1,Joel Crawford,Antonio Banderas,PG,12,102,8,96,49,2,45,45,135,107,79,10,Mid ($30-99M),Holiday,Acclaimed (75+)
Migration,2023,Animation,75,300,0,Benjamin Renner,Kumail Nanjiani,PG,12,83,7,75,22,1,45,38,113,38,33,7,Mid ($30-99M),Holiday,Acclaimed (75+)
Wish,2023,Animation,200,254,0,Chris Buck,Ariana DeBose,PG,11,95,6,46,31,1,45,100,300,-173,-58,12,Mega ($200M+),Holiday,Poor (<50)
Deadpool 2,2018,Action/Adventure,110,786,1,David Leitch,Ryan Reynolds,R,5,119,8,84,125,2,90,55,165,228,138,16,Large ($100-199M),Summer,Acclaimed (75+)
Logan,2017,Action/Adventure,97,619,1,James Mangold,Hugh Jackman,R,3,137,8,93,88,10,90,49,146,164,113,14,Mid ($30-99M),Spring,Acclaimed (75+)
X-Men: Dark Phoenix,2019,Action/Adventure,200,252,1,Simon Kinberg,Sophie Turner,PG-13,6,113,6,23,33,12,90,100,300,-174,-58,13,Mega ($200M+),Summer,Poor (<50)
Venom,2018,Action/Adventure,100,855,1,Ruben Fleischer,Tom Hardy,PG-13,10,112,7,30,80,1,90,50,150,278,185,9,Large ($100-199M),Off-Season,Poor (<50)
Venom: Let There Be Carnage,2021,Action/Adventure,110,502,1,Andy Serkis,Tom Hardy,PG-13,10,97,6,58,213,2,45,55,165,86,52,42,Large ($100-199M),Off-Season,Mixed (50-74)
Morbius,2022,Action/Adventure,75,167,1,Daniel Espinosa,Jared Leto,PG-13,4,104,5,15,39,1,45,38,113,-29,-26,23,Mid ($30-99M),Spring,Poor (<50)
Ant-Man and the Wasp: Quantumania,2023,Action/Adventure,200,476,1,Peyton Reed,Paul Rudd,PG-13,2,125,6,47,106,3,45,100,300,-62,-21,22,Mega ($200M+),Off-Season,Poor (<50)
The Hunger Games: Songbirds,2023,Action/Adventure,100,337,1,Francis Lawrence,Tom Blyth,PG-13,11,157,7,82,45,5,45,50,150,19,12,13,Large ($100-199M),Holiday,Acclaimed (75+)
Transformers: Rise of the Beasts,2023,Action/Adventure,195,439,1,Steven Caple Jr.,Anthony Ramos,PG-13,6,127,6,48,68,7,45,98,293,-73,-25,16,Large ($100-199M),Summer,Poor (<50)
Indiana Jones and the Dial,2023,Action/Adventure,295,384,1,James Mangold,Harrison Ford,PG-13,6,154,7,69,60,5,45,148,443,-251,-57,16,Mega ($200M+),Summer,Mixed (50-74)
Ghostbusters: Frozen Empire,2024,Action/Adventure,100,202,1,Gil Kenan,Paul Rudd,PG,3,115,6,45,45,5,45,50,150,-49,-33,22,Large ($100-199M),Spring,Poor (<50)
Kingdom of the Planet of the Apes,2024,Action/Adventure,160,397,1,Wes Ball,Owen Teague,PG-13,5,145,7,79,56,4,45,80,240,-42,-17,14,Large ($100-199M),Summer,Acclaimed (75+)
Alien: Romulus,2024,Sci-Fi,65,351,1,Fede Álvarez,Cailee Spaeny,R,8,119,7,81,42,7,45,33,98,78,80,12,Mid ($30-99M),Summer,Acclaimed (75+)
A Quiet Place: Day One,2024,Horror,67,261,1,Michael Sarnoski,Lupita Nyong'o,PG-13,6,99,7,82,52,3,45,34,101,30,30,20,Mid ($30-99M),Summer,Acclaimed (75+)
Twisters,2024,Action/Adventure,155,370,1,Lee Isaac Chung,Glen Powell,PG-13,7,122,7,77,80,2,45,78,233,-48,-20,22,Large ($100-199M),Summer,Acclaimed (75+)
Wicked,2024,Drama/Thriller,145,717,1,Jon M. Chu,Cynthia Erivo,PG,11,160,8,89,114,1,45,73,218,141,65,16,Large ($100-199M),Holiday,Acclaimed (75+)
Gladiator II,2024,Action/Adventure,310,468,1,Ridley Scott,Paul Mescal,R,11,148,7,69,55,2,45,155,465,-231,-50,12,Mega ($200M+),Holiday,Mixed (50-74)
Furiosa,2024,Action/Adventure,168,173,1,George Miller,Anya Taylor-Joy,R,5,148,8,90,31,5,45,84,252,-166,-66,18,Large ($100-199M),Summer,Acclaimed (75+)
Civil War,2024,Drama/Thriller,50,87,0,Alex Garland,Kirsten Dunst,R,4,109,7,82,25,1,45,25,75,-32,-42,29,Mid ($30-99M),Spring,Acclaimed (75+)
Longlegs,2024,Horror,10,74,0,Osgood Perkins,Nicolas Cage,R,7,101,6,66,23,1,45,5,15,22,147,31,Low (< $30M),Summer,Mixed (50-74)
Trap,2024,Drama/Thriller,35,54,0,M. Night Shyamalan,Josh Hartnett,PG-13,8,105,6,51,15,1,45,18,53,-26,-49,28,Mid ($30-99M),Summer,Mixed (50-74)
The Wild Robot,2024,Animation,78,323,0,Chris Sanders,Lupita Nyong'o,PG,9,102,8,98,35,1,45,39,117,45,38,11,Mid ($30-99M),Off-Season,Acclaimed (75+)
Deadpool,2016,Action/Adventure,58,783,1,Tim Miller,Ryan Reynolds,R,2,108,8,83,132,1,90,29,87,305,350,17,Mid ($30-99M),Off-Season,Acclaimed (75+)
Suicide Squad,2016,Action/Adventure,175,746,1,David Ayer,Will Smith,PG-13,8,123,6,26,133,1,90,88,263,111,42,18,Large ($100-199M),Summer,Poor (<50)
Birds of Prey,2020,Action/Adventure,84,201,1,Cathy Yan,Margot Robbie,R,2,109,6,79,33,2,90,42,126,-26,-20,16,Mid ($30-99M),Off-Season,Acclaimed (75+)
The Shallows,2016,Drama/Thriller,17,119,0,Jaume Collet-Serra,Blake Lively,PG-13,6,87,6,77,16,1,90,9,26,34,133,13,Low (< $30M),Summer,Acclaimed (75+)
Knives Out,2019,Drama/Thriller,40,312,0,Rian Johnson,Daniel Craig,PG-13,11,130,8,97,41,1,90,20,60,96,160,13,Mid ($30-99M),Holiday,Acclaimed (75+)
Glass Onion,2022,Drama/Thriller,40,13,1,Rian Johnson,Daniel Craig,PG-13,12,139,7,92,0,2,0,20,60,-54,-89,0,Mid ($30-99M),Holiday,Acclaimed (75+)
Uncut Gems,2019,Drama/Thriller,19,50,0,Safdie Brothers,Adam Sandler,R,12,135,7,92,9,1,90,10,29,-4,-12,18,Low (< $30M),Holiday,Acclaimed (75+)
Marriage Story,2019,Drama/Thriller,18,2,0,Noah Baumbach,Adam Driver,R,11,137,8,95,0,1,0,9,27,-26,-96,0,Low (< $30M),Holiday,Acclaimed (75+)
Soul,2020,Animation,150,121,0,Pete Docter,Jamie Foxx,PG,12,100,8,95,0,1,0,75,225,-165,-73,0,Large ($100-199M),Holiday,Acclaimed (75+)
Luca,2021,Animation,150,53,0,Enrico Casarosa,Jacob Tremblay,PG,6,95,7,91,0,1,0,75,225,-199,-88,0,Large ($100-199M),Summer,Acclaimed (75+)
Raya and the Last Dragon,2021,Animation,100,130,0,Don Hall,Kelly Marie Tran,PG,3,107,7,94,8,1,0,50,150,-85,-57,6,Large ($100-199M),Spring,Acclaimed (75+)
